id_palabra,"Palabra","id_cronista","id_texto","cita","pagina","lengua","propuesta","nota","enlace"
1001,"Acacana","1","T01001","<b>Acacana</b>, <i>guaca</i> prencipal de los indios <i>paltas</i>, eran unas piedras en un cerro junto al pueblo de <i>Cuxibamba</i> en el <i>camino real</i>.  Era una <i>pacarisca</i>.  Tiene esta <i>provincia</i> otras muchas, como las demás <i>provincias</i>.","211","","","","sin datos"
1002,"acapana","1","T01002","Ay otro género de <i>guaca</i> que llaman <b>acapana</b> que era aplicado a las guerras que tratavan, a quien pedían favor.  Esta es unos rayos que haze el cielo, que los muchachos llaman en Castilla ovejuelas.  Y todas las vezes que ven esta señal en el cielo, ques muy ordinaria, la mochan con mucho cuidado.  Y para este sacrificio aplicavan la pluma de unas aves que llaman <i>guachuas</i> que son como ánsares d´España: la pluma menor la queman, y soplan la ceniza a la tal <b>acapana</b>, y las mayores ponen en las lanças dende el hierro al regatón a todas por muy buen orden: también llaman para este efeto <b>acapana</b> a los torvellinos que en la tierra se hazen del aire.","196","","","","sin datos"
1003,"Acchu","1","T01003","<i>Mallacleui</i>, <i>guaca</i> prencipal de los indios <i>achus</i>, es un bolcán junto al pueblo de <b>Acchu</b>.  Al pie del está una laguna y en medio una piedra grande, es su <i>pacarisca</i>. ","213","","","","sin datos"
1004,"Achapay","1","T01004","<b>Achapay</b>, <i>guaca</i> de piedra muy labrada.","205","","","","sin datos"
1005,"achus","1","T01005","<i>Mallacleui</i>, <i>guaca</i> prencipal de los indios <b>achus</b>, es un bolcán junto al pueblo de <i>Acchu</i>.  Al pie del está una laguna y en medio una piedra grande, es su <i>pacarisca</i>. ","213","","","","sin datos"
1005,"achus","1","T01006","<i>Uullotoa</i>  [Vicllotoa?] <i>guaca</i> prencipal de los dichos indios <b>achus</b>, es una laguna cercada de piedras y en medio della está una peña.  Dizén que de día da oscuridad y de noche lumbre. ","213","","","","sin datos"
1006,"acollico/acollicos","1","T01007","Ay otro género de <i>guacas</i> muy ordenario en todos los caminos y puertos dellos en todo el <i>Pirú</i>, que llaman <i>apachita</i> o <i>camachico</i> por otro nombre.  Estas las ay en todas las asomadas y bertientes de los caminos, a las cuales saludan y ofrescen los que van con cargas o fatigados de andar, y les ofrescen una oración o una piedra, de tal manera que en los dichos lugares ay muchos más montes dellas.  Otros escarvan la tierra en la propia <i>guaca</i> y, escarvándola, cuenta[n] sus travajos o prosperidades a la dicha <i>guaca</i>.  Otros hazen nudos a las pajas questán cerca.  Otros ofrescen ramos de leña, otros flores o plumas de <i>pariguanas</i>, que son de unas aves que llaman flamencos en España. Otros, <b>acollicos</b> de <i>coca</i> o <i>maíz</i>; el <b>acollico</b> es un poco de <i>coca</i> mascada o lo que cada cual tiene por devoción.","217","","","","sin datos"
1006,"acollico/acollicos","1","T01008","Ay deste género en los <i>caminos reales</i> otras <i>guacas</i> llamadas <i>ormaychico</i> debaxo de peñas o de cerros que amenazan caídas, que los indios mochan y sirven con aquellos bocados de <i>coca</i> que llaman <b>acollicos</b> o con otros mantenimientos que bayan comiendo. Es imposible tirarles esta superstrición porque para tirar las <i>guacas</i> es necesario mucha fuerza de gente que toda la del <i>Pirú</i> no es parte [para] mandar estas piedras ni cerros.","217","","","","sin datos"
1006,"acollico/acollicos","1","T01009","Aunque pienso dar fastidio diré una niñería y patraña que los naturales de los confines de <i>Lima</i> tienen en la sierra, como ban a <i>Guadocherí</i> de acá, en todas las lagunas antes que llegan a Las Escaleras, y es que naturaleza en aquellas peñas, en la traviesa dellas que atraviesa el <i>camino real</i> de una legua a otra, crío una beta de mármol blanco de longitud larga.  Y los naturales cercanos a ella creen y dizen que, cuando los españoles entraron en estos <i>reinos</i>, salió de la una laguna la culebra llamada <i>amaro</i> para irse a la otra y con la nueva se enfrió y se tornó piedra.  Tiene señal de culebra, porque yo la e visto. Todas las <i>provincias</i> alrededor la mochan, cuando pasan por allí, con mucha reverencia.  Dízese tener en los <i>yauyos</i> muchos servicio[s] y <i>ganados</i> y <i>chácaras</i> que le an ofrescido y en <i>Guadochirí</i> y en los pueblos allí comarcanos.  Yo e visto encima della muchos <b>acollicos</b> y ofrescimientos todas las bezes que por allí e pasado.","201","","","","sin datos"
1007,"adoratorios","1","T01010","Ase de considerar que, antes que los <i>yngas</i>, <i>señores</i> que conquistaron desde la provincia del <i>Cuzco</i> hasta <i>Chile</i> y hasta <i>Pasto</i>, en los naturales de esta tierra nunca ovo govierno ni lengua general sino por <i>provincias</i> a las quales governavan por subcesión los indios de más valor y tenían todas las <i>provincias</i> sus <i>guacas</i> <b>adoratorios</b> en el orden que diré:","194","","","","sin datos"
1007,"adoratorios","1","T01011","Después que los <i>yngas</i>, dende el primero hasta el postrero conquistaron todas las <i>provincias</i> que se incluyen desde <i>Chile</i> a <i>Pasto</i>, a unas con armas, a otras con insidias y dádivas y promesas, ansí como procurava [n] saver  luego la cantidad de toda la gente de la provincia de las cosas que se sustentavan, posesiones, oro y plata y ropa que tenían, procurava[n] saver las <i>guacas</i>, <b>adoratorios</b> que adoravan y el orden que tenían en el ofrecerle y sacrificarle y de las posesiones y servicio que tenían, y siempre [el <i>ynga</i>] dio orden que las sustentasen con el orden de antes.","194","","","","sin datos"
1008,"Ala","1","T01012","<i>Namuday</i>, <i>guaca</i> de los indios <i>guamachucos</i>, del <i>ayllo</i> <i>Llampa</i>.  Es una peña en una quebrada que se llama <i>Quichuas</i>, cerca de un pueblo llamado <b>Ala</b>.","210","","","","sin datos"
1009,"Alca","1","T01013","<i>Cantungui</i>, que era un escuadrón de piedras como gentes de guerra, camino de <b>Alca</b>.","205","","","","sin datos"
1010,"Amarayuilca","1","T01014","<i>Zunis</i>, es una <i>guaca</i> de los indios <i>huringuancas</i>; es una piedra questá en un cerrillo, cerca de <b>Amarayuilca</b>.","208","","","","sin datos"
